reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Interactive-Learning	0.852359
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	LLM-Blender	4.701314
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	LSH-Curves	2.384135
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	MA-LLM-Debias	1.312144
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	MA-LLM-Judge	1.101811
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	MA-LLM-attack	1.706478
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Minoria	1.035669
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	MoA	3.136035
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Native-Sparse-Attention	5.698565
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	QR	2.456999
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	RRR	3.473610
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	RSR-Core	1.474637
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Random_access_Retrieval-5	2.294862
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Rankit-Askit	1.871940
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Reg-Min-Rep	1.177381
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Trojan-LLM	3.165538
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	adv_res_paper	1.358441
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	auto-relate	0.596991
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	axolotl	2.379573
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	divergent-thinking	4.511438
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	eff-approx-query	1.601101
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	exp-ranking	2.306767
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	fairRQ	2.200671
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	local-stab-ranking	0.957748
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	mm-mlp	0.709422
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	multi-agent-collab	1.644659
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	query-refine	1.079720
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	ranked-ret	1.063418
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	reg-ratio	0.481683
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	requal	1.807246
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	shapley	0.623418
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	synthesize-score	2.651785
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	uncertainty-LLM	2.230085
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	unf-prms	0.728027
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	AFD	0.828729
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	AlgorithmicCollectiveAction	9.900230
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Corba-LLM	0.430570
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	DyLAN	0.997444
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Dynamic-role-MA-LLM	7.367872
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Dynamic_Necklace_Splitting	2.680532
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Efficient-MM-Algo	12.436197
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	FCM_SIGMOD_CRV	3.706781
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Fair-Prompt-LLM	1.148842
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	FairSetCover	1.022459
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Fair_Epsilon_Net	1.828432
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Fairness-Expo-Rankings	2.262551
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Fast-Monte-Carlo	2.107613
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Gen-LLM	2.666842
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	HENN_ICLR_26-1	0.789709
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	INFINI-GRAM-MINI	0.657968
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Interactive-Learning	0.443957
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	LLM-Blender	1.721051
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	LSH-Curves	1.951183
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	MA-LLM-Debias	0.189272
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	MA-LLM-Judge	0.709256
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	MA-LLM-attack	0.399704
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Minoria	1.048478
