metric_key	metric_label	model	paper_id	anchor_value	model_value	plotted_difference
kl_divergence	KL	qwen3:4b	shapley	0.435028	0.678663	0.243635
kl_divergence	KL	qwen3:4b	synthesize-score	2.489691	2.587443	0.097752
kl_divergence	KL	qwen3:4b	uncertainty-LLM	1.271195	1.136232	-0.134963
kl_divergence	KL	qwen3:4b	unf-prms	0.477641	0.340897	-0.136744
kl_divergence	KL	phi3:medium	AFD	0.667720	0.523616	-0.144104
kl_divergence	KL	phi3:medium	AlgorithmicCollectiveAction	1.073621	1.289630	0.216008
kl_divergence	KL	phi3:medium	Corba-LLM	0.359839	0.235119	-0.124721
kl_divergence	KL	phi3:medium	DyLAN	0.391522	0.637719	0.246197
kl_divergence	KL	phi3:medium	Dynamic-role-MA-LLM	6.758754	6.908961	0.150206
kl_divergence	KL	phi3:medium	Dynamic_Necklace_Splitting	2.010115	2.243880	0.233765
kl_divergence	KL	phi3:medium	Efficient-MM-Algo	12.922940	12.705416	-0.217525
kl_divergence	KL	phi3:medium	FCM_SIGMOD_CRV	1.075480	1.122083	0.046602
kl_divergence	KL	phi3:medium	Fair-Prompt-LLM	1.301805	1.317810	0.016005
kl_divergence	KL	phi3:medium	FairSetCover	0.931124	0.971816	0.040692
kl_divergence	KL	phi3:medium	Fair_Epsilon_Net	0.843227	1.570109	0.726882
kl_divergence	KL	phi3:medium	Fairness-Expo-Rankings	1.050558	3.578030	2.527472
kl_divergence	KL	phi3:medium	Fast-Monte-Carlo	2.192456	5.312538	3.120081
kl_divergence	KL	phi3:medium	Gen-LLM	0.357241	0.336905	-0.020336
kl_divergence	KL	phi3:medium	HENN_ICLR_26-1	0.373000	1.058206	0.685206
kl_divergence	KL	phi3:medium	INFINI-GRAM-MINI	0.677727	1.522898	0.845171
kl_divergence	KL	phi3:medium	Interactive-Learning	1.035402	0.494100	-0.541302
kl_divergence	KL	phi3:medium	LLM-Blender	0.280858	2.286519	2.005661
kl_divergence	KL	phi3:medium	LSH-Curves	1.246105	1.534054	0.287950
kl_divergence	KL	phi3:medium	MA-LLM-Debias	0.850143	0.295529	-0.554614
kl_divergence	KL	phi3:medium	MA-LLM-Judge	0.690034	1.340991	0.650957
kl_divergence	KL	phi3:medium	MA-LLM-attack	0.318217	1.412027	1.093810
kl_divergence	KL	phi3:medium	Minoria	1.128366	0.800252	-0.328114
kl_divergence	KL	phi3:medium	MoA	0.580270	0.370191	-0.210079
